Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
sample4.v, 159, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | i2 | ~i0 | ~i1) & (i0 | i1 | i2 | ~i1) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 16.66569209098816, 0.2508178213510978, 0.3060821913177845, 1.0
sample4.v, 83, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | i2 | ~i1) & (i0 | i1 | ~i2) & (i0 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 8.268990278244019, 0.25389591989909405, 0.29866318955725074, 1.0
sample4.v, 75, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | i2 | ~i0 | ~i1) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 7.2453248500823975, 0.4008760600177026, 0.14749724733300396, 1.0
sample4.v, 105, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (i1 | ~i0 | ~i1 | ~i2) & (~i0 | ~i1 | ~i2), Valid, 10.974087476730347, 0.19367845644687698, 0.36144073353592887, 1.0
sample5.v, 2, 1, 0.5, 1, 2, 3, 0, (i1 | i2); (i1 | i2 | ~i1 | ~i2); (i2 | ~i1), Valid, 0.6216351985931396, 0.30150732247410944, 0.3682825061666816, 1.0
sample5.v, 3, 1, 0.5, 1, 2, 3, 0, (i1 | i2); (i1 | i2 | ~i1 | ~i2); (i2 | ~i1), Valid, 0.7758655548095703, 0.08656288305113052, 0.5881615374858342, 1.0
sample5.v, 3, 1, 0.5, 1, 2, 3, 0, (i1 | i2); (i1 | i2 | ~i1 | ~i2); (i2 | ~i1), Valid, 0.724423885345459, 0.0459858691833756, 0.5907400597820702, 1.0
sample5.v, 3, 1, 0.5, 1, 2, 3, 0, (i1 | i2); (i1 | i2 | ~i1 | ~i2); (i2 | ~i1), Valid, 0.7487378120422363, 0.06151583716248368, 0.6196943557365904, 1.0
sample5.v, 2, 1, 0.5, 1, 2, 3, 0, (i1 | i2); (i1 | i2 | ~i1 | ~i2); (i2 | ~i1), Valid, 0.6319386959075928, 0.3265691442417402, 0.3203378137357491, 1.0
sample5.v, 3, 1, 0.5, 1, 2, 3, 0, (i1 | i2); (i1 | i2 | ~i1 | ~i2); (i2 | ~i1), Valid, 0.712125301361084, 0.034414650482201624, 0.5972075585572136, 1.0
