Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
50, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 4, 0, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
50, 5, 0, empty string, Invalid
50, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 5, 6, {1: '(~i_0)\n'}, Valid
50, 5, 0, {1: '(~i_0)\n'}, Valid
50, 5, 0, {1: '(~i_0)\n'}, Valid
50, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 5, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 5, 0, empty string, Invalid
50, 5, 1, {1: '(i_0 | ~i_0)\n'}, Valid
50, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
-,-,-,-,-
50, 10, 1, {1: '(i_0 | ~i_0)\n'}, Valid
50, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 0, {1: '(~i_0)\n'}, Valid
50, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 7, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
50, 50, 67, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 54, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
50, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
100, 1, 0, empty string, Invalid
100, 1, 0, {1: '(~i_0)\n'}, Valid
100, 1, 0, empty string, Invalid
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 1, 0, empty string, Invalid
100, 1, 1, {1: '(~i_0)\n'}, Valid
100, 1, 0, empty string, Invalid
100, 1, 0, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
100, 2, 4, {1: '(~i_0)\n'}, Valid
100, 2, 0, empty string, Invalid
100, 2, 0, empty string, Invalid
100, 2, 1, {1: '(~i_0)\n'}, Valid
100, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 2, 0, empty string, Invalid
100, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 2, 0, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
100, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 3, 0, empty string, Invalid
100, 3, 0, empty string, Invalid
100, 3, 0, {1: '(~i_0)\n'}, Valid
100, 3, 1, {1: '(~i_0)\n'}, Valid
100, 3, 0, {1: '(~i_0)\n'}, Valid
100, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 3, 0, {1: '(~i_0)\n'}, Valid
100, 3, 0, {1: '(~i_0)\n'}, Valid
100, 3, 1, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
100, 4, 0, {1: '(~i_0)\n'}, Valid
100, 4, 0, {1: '(~i_0)\n'}, Valid
100, 4, 0, empty string, Invalid
100, 4, 2, {1: '(~i_0)\n'}, Valid
100, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 4, 0, {1: '(~i_0)\n'}, Valid
100, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 4, 0, empty string, Invalid
100, 4, 1, {1: '(i_0 | ~i_0)\n'}, Valid
100, 4, 0, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 5, 3, {1: '(i_0 | ~i_0)\n'}, Valid
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 5, 1, {1: '(i_0 | ~i_0)\n'}, Valid
100, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
100, 5, 5, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
100, 10, 3, {1: '(i_0 | ~i_0)\n'}, Valid
100, 10, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 10, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 5, {1: '(~i_0)\n'}, Valid
100, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 11, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
100, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
100, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
